"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 28 12:50:07 EET 2022","Mon Nov 28 12:50:22 EET 2022","14451","","Home Page tests: ","","Home Page tests: ","2. Verify the price in the Mini Cart","2. Verify the price in the Mini Cart",""
"passed","Mon Nov 28 12:50:22 EET 2022","Mon Nov 28 12:50:27 EET 2022","5110","","Home Page tests: ","","Home Page tests: ","3. Verify the emmail field in the footer with Invalid emails","3. Verify the emmail field in the footer with Invalid emails",""
"passed","Mon Nov 28 12:50:27 EET 2022","Mon Nov 28 12:50:38 EET 2022","11165","","Home Page tests: ","","Home Page tests: ","4. Verify the emmail field in the footer with valid emails(registered)","4. Verify the emmail field in the footer with valid emails(registered)",""
"passed","Mon Nov 28 12:50:38 EET 2022","Mon Nov 28 12:50:42 EET 2022","3752","","Home Page tests: ","","Home Page tests: ","5. Check the navigation tabs","5. Check the navigation tabs",""
"failed","Mon Nov 28 12:49:55 EET 2022","Mon Nov 28 12:50:07 EET 2022","12114","","Home Page tests: ","","Home Page tests: ","1. Verify the adding item to the mini cart","1. Verify the adding item to the mini cart",""
"passed","Mon Nov 28 12:50:51 EET 2022","Mon Nov 28 12:50:57 EET 2022","5641","","Home Page tests: ","","Home Page tests: ","6. Check the searching field","6. Check the searching field",""
"passed","Mon Nov 28 12:50:42 EET 2022","Mon Nov 28 12:50:46 EET 2022","4452","","Home Page tests: ","","Home Page tests: ","5.1 Check the navigation tabs of the 1st lvl","5.1 Check the navigation tabs of the 1st lvl",""
"passed","Mon Nov 28 12:50:46 EET 2022","Mon Nov 28 12:50:51 EET 2022","4957","","Home Page tests: ","","Home Page tests: ","5.2  Check the navigation tabs of the 2nd lvl","5.2  Check the navigation tabs of the 2nd lvl",""
